"filename", "language", "JavaScript", "HTML", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\css\Swal.css", "CSS", 0, 0, 0, 24, 0, 4, 6, 34
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\css\lobby.css", "CSS", 0, 0, 0, 174, 0, 7, 11, 192
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\css\style.css", "CSS", 0, 0, 0, 268, 0, 3, 20, 291
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\js\Frontend\lobby.js", "JavaScript", 67, 0, 0, 0, 0, 33, 6, 106
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\js\Logic\UI.js", "JavaScript", 80, 0, 0, 0, 0, 25, 19, 124
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\js\Logic\app.js", "JavaScript", 464, 0, 0, 0, 0, 35, 78, 577
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\js\Logic\constants.js", "JavaScript", 86, 0, 0, 0, 0, 6, 17, 109
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\Public\js\Logic\frontend.js", "JavaScript", 25, 0, 0, 0, 0, 3, 3, 31
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 17, 40
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\backend.js", "JavaScript", 46, 0, 0, 0, 0, 9, 5, 60
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\package-lock.json", "JSON", 0, 0, 0, 0, 1391, 0, 1, 1392
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\package.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\socketHandler.js", "JavaScript", 123, 0, 0, 0, 0, 11, 19, 153
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\views\error.ejs", "HTML", 0, 13, 0, 0, 0, 0, 3, 16
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\views\index.ejs", "HTML", 0, 163, 0, 0, 0, 0, 8, 171
"h:\Web Development Projects\Additional projects\The_Royal_Game_Of_Ur\The Royal Game Of Ur (sockets)\views\lobby.ejs", "HTML", 0, 37, 0, 0, 0, 11, 7, 55
"Total", "-", 891, 213, 23, 466, 1409, 147, 221, 3370
